,vi,uH,vni,vniH,vps,vpsH,viscii,visciiH,tcvn3,tcvn3H,viqr,name,koDau,spec,tone,koDauT
104,ớ,U+1EDB,ôù,F4 F9,§,A7,¾,BE,í,ED,o+',LATIN SMALL LETTER O WITH HORN AND ACUTE,o,HORN,ACUTE,ơ
105,Ờ,U+1EDC,ÔØ,D4 D8,ž,9E,–,96,¥ê,A5 EA,O+`,LATIN CAPITAL LETTER O WITH HORN AND GRAVE,O,HORN,GRAVE,Ơ
106,ờ,U+1EDD,ôø,F4 F8,©,A9,¶,B6,ê,EA,o+`,LATIN SMALL LETTER O WITH HORN AND GRAVE,o,HORN,GRAVE,ơ
107,Ở,U+1EDE,ÔÛ,D4 DB,Ÿ,9F,—,97,¥ë,A5 EB,O+?,LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE,O,HORN,HOOK ABOVE,Ơ
108,ở,U+1EDF,ôû,F4 FB,ª,AA,·,B7,ë,EB,o+?,LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE,o,HORN,HOOK ABOVE,ơ
109,Ỡ,U+1EE0,ÔÕ,D4 D5,¦,A6,³,B3,¥ì,A5 EC,O+~,LATIN CAPITAL LETTER O WITH HORN AND TILDE,O,HORN,TILDE,Ơ
110,ỡ,U+1EE1,ôõ,F4 F5,«,AB,Þ,DE,ì,EC,o+~,LATIN SMALL LETTER O WITH HORN AND TILDE,o,HORN,TILDE,ơ
111,Ợ,U+1EE2,ÔÏ,D4 CF,,13,”,94,¥î,A5 EE,O+.,LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW,O,HORN,DOT BELOW,Ơ
112,ợ,U+1EE3,ôï,F4 EF,®,AE,þ,FE,î,EE,o+.,LATIN SMALL LETTER O WITH HORN AND DOT BELOW,o,HORN,DOT BELOW,ơ
113,Ụ,U+1EE4,UÏ,55 CF,,14,ž,9E,Uô,55 F4,U.,LATIN CAPITAL LETTER U WITH DOT BELOW,U,,DOT BELOW,U
114,ụ,U+1EE5,uï,75 EF,ø,F8,ø,F8,ô,F4,u.,LATIN SMALL LETTER U WITH DOT BELOW,u,,DOT BELOW,u
115,Ủ,U+1EE6,UÛ,55 DB,Ñ,D1,œ,9C,Uñ,55 F1,U?,LATIN CAPITAL LETTER U WITH HOOK ABOVE,U,,HOOK ABOVE,U
116,ủ,U+1EE7,uû,75 FB,û,FB,ü,FC,ñ,F1,u?,LATIN SMALL LETTER U WITH HOOK ABOVE,u,,HOOK ABOVE,u
117,Ứ,U+1EE8,ÖÙ,D6 D9,­,AD,º,BA,¦ø,A6 F8,U+',LATIN CAPITAL LETTER U WITH HORN AND ACUTE,U,HORN,ACUTE,Ư
118,ứ,U+1EE9,öù,F6 F9,Ù,D9,Ñ,D1,ø,F8,u+',LATIN SMALL LETTER U WITH HORN AND ACUTE,u,HORN,ACUTE,ư
119,Ừ,U+1EEA,ÖØ,D6 D8,¯,AF,»,BB,¦õ,A6 F5,U+`,LATIN CAPITAL LETTER U WITH HORN AND GRAVE,U,HORN,GRAVE,Ư
120,ừ,U+1EEB,öø,F6 F8,Ø,D8,×,D7,õ,F5,u+`,LATIN SMALL LETTER U WITH HORN AND GRAVE,u,HORN,GRAVE,ư
121,Ử,U+1EEC,ÖÛ,D6 DB,±,B1,¼,BC,¦ö,A6 F6,U+?,LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE,U,HORN,HOOK ABOVE,Ư
122,ử,U+1EED,öû,F6 FB,º,BA,Ø,D8,ö,F6,u+?,LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE,u,HORN,HOOK ABOVE,ư
123,Ữ,U+1EEE,ÖÕ,D6 D5,,1D,ÿ,FF,¦÷,A6 F7,U+~,LATIN CAPITAL LETTER U WITH HORN AND TILDE,U,HORN,TILDE,Ư
124,ữ,U+1EEF,öõ,F6 F5,»,BB,æ,E6,÷,F7,u+~,LATIN SMALL LETTER U WITH HORN AND TILDE,u,HORN,TILDE,ư
125,Ự,U+1EF0,ÖÏ,D6 CF,,15,¹,B9,¦ù,A6 F9,U+.,LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW,U,HORN,DOT BELOW,Ư
126,ự,U+1EF1,öï,F6 EF,¿,BF,ñ,F1,ù,F9,u+.,LATIN SMALL LETTER U WITH HORN AND DOT BELOW,u,HORN,DOT BELOW,ư
127,Ỳ,U+1EF2,YØ,59 D8,²,B2,Ÿ,9F,Yú,59 FA,Y`,LATIN CAPITAL LETTER Y WITH GRAVE,Y,,GRAVE,Y
128,ỳ,U+1EF3,yø,79 F8,ÿ,FF,Ï,CF,ú,FA,y`,LATIN SMALL LETTER Y WITH GRAVE,y,,GRAVE,y
129,Ỵ,U+1EF4,Î,CE,,19,‑,1E,Yþ,59 FE,Y.,LATIN CAPITAL LETTER Y WITH DOT BELOW,Y,,DOT BELOW,Y
130,ỵ,U+1EF5,î,EE,œ,9C,Ü,DC,þ,FE,y.,LATIN SMALL LETTER Y WITH DOT BELOW,y,,DOT BELOW,y
131,Ỷ,U+1EF6,YÛ,59 DB,ý,FD,,14,Yû,59 FB,Y?,LATIN CAPITAL LETTER Y WITH HOOK ABOVE,Y,,HOOK ABOVE,Y
132,ỷ,U+1EF7,yû,79 FB,›,9B,Ö,D6,û,FB,y?,LATIN SMALL LETTER Y WITH HOOK ABOVE,y,,HOOK ABOVE,y
133,Ỹ,U+1EF8,YÕ,59 D5,³,B3,,19,Yü,59 FC,Y~,LATIN CAPITAL LETTER Y WITH TILDE,Y,,TILDE,Y
134,ỹ,U+1EF9,yõ,79 F5,Ï,CF,Û,DB,ü,FC,y~,LATIN SMALL LETTER Y WITH TILDE,y,,TILDE,y
